"id","common_name_crop","species_name","species_name_taxonstand_","species_name_","genus","sps","family","order","gf","wild_progenitor","sources_wild_progenitor","minimum_time_cultivation","minimum_time_domestication","sources_minimum_time_cultivation_domestication","filter_data_antiquity","use_food","use_animal_feed","use","use_primary","sources_use","number_gbif_records","filter_ocurr_gbif","sd_longitude","sd_latitude","mode_ecoreg_code","biogeografic_realm","mode_ecoreg_name","mode_ecoreg_centroid_lon","mode_ecoreg_centroid_lat","median_BIO1","median_BIO2","median_BIO3","median_BIO4","median_BIO5","median_BIO6","median_BIO7","median_BIO8","median_BIO9","median_BIO10","median_BIO11","median_BIO12","median_BIO13","median_BIO14","median_BIO15","median_BIO16","median_BIO17","median_BIO18","median_BIO19","cv_BIO1","cv_BIO2","cv_BIO3","cv_BIO4","cv_BIO5","cv_BIO6","cv_BIO7","cv_BIO8","cv_BIO9","cv_BIO10","cv_BIO11","cv_BIO12","cv_BIO13","cv_BIO14","cv_BIO15","cv_BIO16","cv_BIO17","cv_BIO18","cv_BIO19"
714,"Tamarillo","Solanum betaceum","Solanum_betaceum_Cav.","Solanum_betaceum","Solanum","betaceum","Solanaceae","Solanales","woody","Solanum_betaceum_Cav.","128",NA,NA,NA,0,1,0,"fruit_flower","fruit_flower",90,82,1,0.723760721,1.867433739,"NT0165","Neotropic","Southern Andean Yungas",-64.67697023,-23.30341102,190,134,62,2715,282.5,69,219,213,160,213,155.5,802,158,5.5,84,446.5,25.5,410,33.5,9.026681861,10.03097346,8.644836897,28.74893299,6.716012385,44.57981964,15.67151428,9.196933817,10.89397114,9.106321221,13.16110061,19.87396558,20.38799605,59.56069808,10.62719705,18.3520514,52.89575866,16.33659431,49.551693
715,"Chaucha","Solanum chaucha","Solanum_chaucha_Juz._&_Bukasov","Solanum_chaucha","Solanum","chaucha","Solanaceae","Solanales","herb","Solanum_stenotomum_Juz._&_Bukasov,Solanum_tuberosum_L.","125",NA,NA,NA,0,1,0,"root","root",125,1347,1,3.613813936,3.024616474,"NT0153","Neotropic","Peruvian Yungas",-74.8506025,-10.72625706,101,148,77,949,189,-8,190,109,86,112,86,822,142,10,70,387,39,267,39,43.48725334,10.13695872,6.224625004,52.92074257,24.28013501,2333.419986,14.51764519,39.57798691,53.25496774,39.28218947,53.70454225,48.54881421,36.33703887,137.1742914,24.81895932,37.34665894,117.2431814,45.41699083,117.4318115
716,"Papa_rucki","Solanum curtilobum","Solanum_curtilobum_Juz._&_Bukasov","Solanum_curtilobum","Solanum","curtilobum","Solanaceae","Solanales","herb","Solanum_acaule_Bitter","125",NA,NA,NA,0,1,0,"root","root",126,360,1,3.429607914,4.813950137,"NT1002","Neotropic","Central Andean Puna",-68.08168989,-20.66214083,75,164.5,68,2092,188,-66,254,99,41,100.5,39,622,136,3,92,352,15,225,16,44.28715634,13.71377904,9.034626827,46.89383685,22.07511996,70.4333251,17.53750526,39.82801435,78.59892683,39.32276477,81.27735694,52.35685999,42.72871004,125.4413716,18.13948207,44.53507359,104.6894137,46.99088709,99.17895435
717,"Bussu","Solanum duplosinuatum","Solanum_duplosinuatum_hort.","Solanum_duplosinuatum","Solanum","duplosinuatum","Solanaceae","Solanales","woody","Solanum_dasyphyllum_var._semiglabrum_(C.H._Wright)_Bitter,Solanum_dasyphyllum_var._semiglabrum_(C.H._Wright)_Bitter","141",NA,NA,NA,0,1,0,"fruit_flower","fruit_flower",111,187,1,16.69072611,6.013798322,"AT0707","Afrotropic","Guinean Forest-Savanna Mosaic",-1.44104815,8.87510659,246,111,71,1315,316,156,152,239,243,256,234,1251,222,7,67,593,43,233,289,14.09829613,17.8778042,11.53287622,46.63520177,12.77056856,24.3327367,22.39942897,13.33075649,16.01170129,14.73852293,14.54340262,29.24917206,33.15127204,114.7817295,33.89531257,31.98221335,96.07670866,51.44682493,81.88573164
718,"Papa_amarilla","Solanum goniocalyx","Solanum_goniocalyx_Juz._&_Bukasov","Solanum_goniocalyx","Solanum","goniocalyx","Solanaceae","Solanales","herb","Solanum_goniocalyx_Juz._&_Bukasov,Solanum_stenotomum_Juz._&_Bukasov","90",NA,NA,NA,0,1,0,"root","root",90,449,1,3.616501786,3.026866096,"NT0153","Neotropic","Peruvian Yungas",-74.8506025,-10.72625706,101,148,77,949,189,-8,190,109,86,112,86,822,142,10,70,387,39,267,39,43.5195979,10.14449829,6.2292547,52.96010349,24.29819387,2335.155516,14.52844299,39.60742387,53.29457724,39.31140642,53.74448613,48.58492341,36.36406531,137.2763177,24.83741894,37.37443631,117.3303835,45.45077067,117.5191539
719,"Tomato","Solanum lycopersicum","Solanum_lycopersicum_L.","Solanum_lycopersicum","Solanum","lycopersicum","Solanaceae","Solanales","herb","Solanum_pimpinellifolium_L.","1,3,4",800,800,"4,37,56",1,1,0,"fruit_flower","fruit_flower",4,186,1,1.718525963,3.344319285,"NT0232","Neotropic","Tumbes-Piura Dry Forests",-80.18557874,-5.17472368,236,121,73,1390,307,154,167,244,221,246,217,245,83,0,129,186,1,170,2,28.01975224,18.10394498,12.56795467,46.22224002,20.89542194,51.89987415,16.28566943,27.97850729,29.75419415,26.9912576,30.29496314,115.7813221,73.89828275,215.8823008,42.35106595,90.95184279,204.7243202,88.0200123,205.7572938
720,"Gboma_eggplant","Solanum macrocarpon","Solanum_macrocarpon_L.","Solanum_macrocarpon","Solanum","macrocarpon","Solanaceae","Solanales","woody","Solanum_dasyphyllum_Schumach._&_Thonn.","4",5000,4000,"4",1,1,1,"food&forage","fruit_flower",90,187,1,16.69072611,6.013798322,"AT0707","Afrotropic","Guinean Forest-Savanna Mosaic",-1.44104815,8.87510659,246,111,71,1315,316,156,152,239,243,256,234,1251,222,7,67,593,43,233,289,14.09829613,17.8778042,11.53287622,46.63520177,12.77056856,24.3327367,22.39942897,13.33075649,16.01170129,14.73852293,14.54340262,29.24917206,33.15127204,114.7817295,33.89531257,31.98221335,96.07670866,51.44682493,81.88573164
721,"Eggplant","Solanum melongena","Solanum_melongena_L.","Solanum_melongena","Solanum","melongena","Solanaceae","Solanales","herb","Solanum_incanum_L.,Solanum_melongena_L.","4,3",5000,2000,"4",1,1,0,"fruit_flower","fruit_flower",4,141,1,17.81666328,9.898422215,"IM0123","Indo_malay","Luzon Rain Forests",121.5381,15.76794,246,79.5,58.5,1756,322,173.5,140.5,263.5,237,277,223,1958,348.5,20.5,77,935.5,84,454,135,10.7972786,24.63514664,29.16841084,72.75214247,8.631687978,29.51944617,32.60995959,8.681835223,19.36676743,8.351264817,21.45377546,39.0312944,48.09182554,111.3864964,28.67713656,46.30968133,94.33208007,70.42103377,137.7088057
722,"Pepino","Solanum muricatum","Solanum_muricatum_Aiton","Solanum_muricatum","Solanum","muricatum","Solanaceae","Solanales","herb","Solanum_caripense_Dunal","4",2500,2500,"4",1,1,0,"fruit_flower","fruit_flower",4,263,1,1.938432902,4.907665258,"NT0145","Neotropic","Northwestern Andean Montane Forests",-77.60271938,2.21127696,140,109,88,312,208,73,125,142,137,144,136,1114,172,35,42,460,136,389,158,27.11861319,16.93477763,4.40787323,58.65364119,19.98483351,52.6001794,19.48296759,26.75181569,28.10861245,26.95336996,28.44764372,45.18004257,38.80071689,73.49289055,45.82955035,39.49785056,68.04017728,46.83893164,89.22680362
723,"Papa_criolla","Solanum phureja","Solanum_phureja_Juz._&_Bukasov","Solanum_phureja","Solanum","phureja","Solanaceae","Solanales","herb","Solanum_stenotomum_Juz._&_Bukasov","90",NA,NA,NA,0,1,0,"root","root",90,449,1,3.616501786,3.026866096,"NT0153","Neotropic","Peruvian Yungas",-74.8506025,-10.72625706,101,148,77,949,189,-8,190,109,86,112,86,822,142,10,70,387,39,267,39,43.5195979,10.14449829,6.2292547,52.96010349,24.29819387,2335.155516,14.52844299,39.60742387,53.29457724,39.31140642,53.74448613,48.58492341,36.36406531,137.2763177,24.83741894,37.37443631,117.3303835,45.45077067,117.5191539
